argument;score;readability
I love these shoes. I am rather basic when it comes to Nikes, I don't need all the cool colors, so these look amazing and feel amazing, like they were made for my feet. I definitely suggest purchasing them.;5;8.181671929929095
Cute and comfy. Sleek design. My only complaint is the fly wire loosens up and my shoe sometimes slips off my heels during heavy sled runs. I have two pairs of this style.;4;8.750277269206393
I love them!;5;9.750968241673121
normally Nike fits small so we go up a half size. These actually fit to my wife's appropriate size. So be ware when you order.;4;8.230699715982443
love these shoes. use them to workout inside and to work;5;9.056959016970636
I was shocked at how small these shoes were, not true at all to size, and I own multiple shoes in this brand. The quality could have been better, in my opinion -- very little support from the upper.;3;8.087304822862734
Great shoes - was looking for something to replace my barefeet so I can wear orthotics while kickboxing. These are light weight, hug my feet comfortably and have a thinner upper so I can still feel the bag when I kick AND they have good lateral stability. My feet are on the narrow side so it's hard to find shoes that are snug enough. These are perfect. Oh, and they are really cute too.;5;8.217749859406005
They fit perfectly. These shoes are great for walking - so very comfortable. Love them.;5;8.047185644203457
Good fit and comfy.  Not so cushiony so definetly better for training and not for running or aerobics. Bought size 8 which is my usual size.;5;8.18022205009037
Light weight and comfortable;5;7.254260263361735
I was wearing running shoes for cardio dance classes at the gym because I thought they would be sufficient. After getting 2 blood blisters I did some research and found out cross trainers would be more appropriate which is how I ended up buying this pair. They are slightly longer in look then I  would like but I think that is typical of cross trainers. Also, the lacing is done in a way that allows you to tie too tightly if you're not careful (my toes were tingling during one particular work out when I had done this). Other then that I am very happy with the shoes.;4;8.140191445362742
Nikes usually run small and I'm a 7.5, so I ordered these in an 8 and they were actually very roomy.  I love them but they are definitely bright orange/coral and not bright crimson like the description said.  I thought they'd be more red in hue to wear with my Ohio State clothes, but instead I use them for running.;4;8.159234259156799
Color was not at all what i expected.  It was more orange then red.  Not sure that I am going to keep them.;2;9.279189258972371
Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes.;5;7.995030372212482
Squeaky;3;6.553059643687065
If you wear Nike on the regular, then you should pretty much know your size. I wear only 7's in Nike, and it fit just as expected. I have many of the trail runner generations, and love them all. they're my go to sneakers for the gym use, or casual wear. I have a pair I used mostly for casual wear that have lasted about 5 years. Another pair that I used for cross fit/outdoor runs that lasted a little over a year (very vigorous daily use). All in all, these shoes are great for me. They're lightweight, and comfortable.;5;8.334495143453152
Great arch support and cushion both for the heel and ball of the foot. Great aerobic shoe!;5;8.763811682690116
Good quality, perfect fit.  It's a Nike!;5;8.482958946553058
Size 8, but purchased 8.5 for a more comfortable feel, considering shrinkage as a result of perspiration.;5;7.273249191233425
I've always gotten this size in Nike shoes with similar description, but these are too long- at least an inch and 1/2.;2;8.110467572706147
Very lightweight. Normal Nike quality. Pink is very bright , colors look great together.;5;7.178146537170549
Love them!!;5;9.790278853601857
Arrived on time. I probably should have gone with a 7.5 instead of an 8 because they do seem a little big, but if I wear thick socks they are fine. Also, they can sometimes make a very annoying squeaky noise when I run on certain surfaces so I'm trying to get them worn in. Over-all, I am satisfied with my purchase!;4;8.36561497178267
After less than a week the sole ripped off on the outside of the shoe;1;8.623934934159566
The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.;4;8.587075456556478
I love these!  I ordered an 8.5 which is my normal shoe size and they fit great.  I used them for my strength training class and they performed well, and they are sooooo pretty!  Comfortable, low profile and stylish!;5;8.772463206816418
Cute and comfortable;5;6.474438419829589
Very comfortable.;5;3.237219209914794
Sizing was perfect as ordered. Quality appears good, still new, not too much more to report.;5;8.120933384972886
Size really depends on the brand.  I wear a 6.5 in Nike and they fit me perfectly.  These shoes are comfortable, they wrap around my feet like a bandage but do not restrict movement.;5;8.48702556158017
I was really excited when I opened the box to see the color is exactly like the image shows! I have the Nike flex tr 5 and used the same size to order these. They are a little bigger than expected but still comfortable.;4;8.175345632936647
Returning these. the pictures on here make the shoe appear all black with a touch of pink in the check. however, the whole shoe has pink coming through. I was looking for an all black shoe. I ordered the Nike Women's Flex Supreme TR3 instead and love them!!!;1;8.604124709527497
wow these are the most comfortable, light weight shoes. I love them!!;5;8.813903950426026
love the lightweight and the fit;5;9.08694810224632
fits perfect, my daughter loves them;5;8.540859798605732
Finally, after trying about 10 pairs of Nike's, these were a perfect fit.  They are light and very comfortable, I really just forget about my feet when I'm wearing them.;5;7.779862447215212
Came quick and my daughter LOVES them;5;9.12565010512338
Great Gift - she loved it!  It's a nice shoe!;5;10.0
Bought these for my daughter and she loves them.  She tried them on at a retail store a couple months prior, so I knew her exact size.;5;8.850475821622219
Great product and fast shipping!;5;8.361735089078234
Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !;2;8.984889561767949
I had the older generation of this shoe that survived 2 or 3 mud runs and of all my aches and pains, my feet was not one of them. This is because of this shoe. Nike really dropped the mic with this.;5;8.616437977204825
This pair fits perfect.....the first pair was wrong size in the right box.....definitely order again!!!!!;5;8.044197384608376
I returned these as they were not true to size. They ran large.;2;9.109299588869689
wrong shoes;1;9.790278853601857
There very nice;5;8.658791634391944
